Month,Year,DayOfWeek,Sex,Age,VehicleAge,TipoVehiculo,TipoPoliza,Fault,ClaimAmount,FraudFound_P,Fraude
Dec,1994,Wednesday,Female,21,3 years,Sport,Liability,Policy Holder,69000,0,Legítimo
Jan,1994,Wednesday,Male,34,6 years,Sport,Collision,Policy Holder,69000,0,Legítimo
Oct,1994,Friday,Male,47,7 years,Sport,Collision,Policy Holder,69000,0,Legítimo
Jun,1994,Saturday,Male,65,more than 7,Sedan,Liability,Third Party,24500,0,Legítimo
Jan,1994,Monday,Female,27,5 years,Sport,Collision,Third Party,69000,0,Legítimo
Oct,1994,Friday,Male,20,5 years,Sport,Collision,Third Party,69000,0,Legítimo
Feb,1994,Saturday,Male,36,7 years,Sport,Collision,Third Party,69000,0,Legítimo
Nov,1994,Friday,Male,0,new,Sport,Collision,Policy Holder,69000,0,Legítimo
Dec,1994,Saturday,Male,30,6 years,Sport,Collision,Policy Holder,69000,0,Legítimo
Apr,1994,Tuesday,Male,42,more than 7,Utility,All Perils,Policy Holder,69000,0,Legítimo
Mar,1994,Sunday,Male,71,more than 7,Sedan,All Perils,Policy Holder,69000,0,Legítimo
Mar,1994,Monday,Male,52,more than 7,Sedan,Liability,Policy Holder,24500,0,Legítimo
Jan,1994,Friday,Male,28,7 years,Sedan,Liability,Policy Holder,69000,0,Legítimo
Jan,1994,Friday,Male,0,new,Sedan,Collision,Third Party,69000,0,Legítimo
Jan,1994,Monday,Male,61,more than 7,Sedan,Liability,Policy Holder,69000,0,Legítimo
Aug,1994,Tuesday,Male,38,6 years,Sedan,Liability,Policy Holder,69000,0,Legítimo
Apr,1994,Thursday,Male,41,7 years,Sedan,All Perils,Policy Holder,69000,0,Legítimo
Jul,1994,Sunday,Female,28,7 years,Sedan,Collision,Third Party,24500,0,Legítimo
May,1994,Thursday,Male,32,7 years,Sedan,Liability,Policy Holder,24500,0,Legítimo
Apr,1994,Monday,Male,30,6 years,Sedan,Liability,Third Party,69000,0,Legítimo
Apr,1994,Friday,Male,40,more than 7,Sedan,Liability,Policy Holder,24500,0,Legítimo
Jan,1994,Saturday,Male,47,more than 7,Sedan,Collision,Policy Holder,24500,0,Legítimo
Aug,1994,Sunday,Male,63,more than 7,Sedan,Liability,Policy Holder,24500,0,Legítimo
Jun,1994,Saturday,Male,31,6 years,Sedan,Liability,Third Party,34500,0,Legítimo
Sep,1994,Friday,Male,45,more than 7,Sedan,All Perils,Policy Holder,69000,0,Legítimo
Mar,1994,Monday,Male,60,more than 7,Sedan,Liability,Policy Holder,24500,0,Legítimo
Mar,1994,Thursday,Male,21,5 years,Sedan,Collision,Policy Holder,34500,0,Legítimo
May,1994,Sunday,Male,42,7 years,Sedan,All Perils,Policy Holder,34500,0,Legítimo
Jul,1994,Saturday,Male,0,new,Sedan,All Perils,Policy Holder,69000,1,Fraude
May,1994,Monday,Female,39,7 years,Sedan,Collision,Policy Holder,24500,0,Legítimo
Mar,1994,Friday,Male,47,more than 7,Sedan,Collision,Policy Holder,34500,0,Legítimo
Mar,1994,Sunday,Male,0,new,Sedan,Collision,Policy Holder,69000,0,Legítimo
Mar,1994,Wednesday,Male,42,7 years,Sedan,Collision,Policy Holder,24500,0,Legítimo
Jan,1994,Monday,Male,30,6 years,Sedan,Collision,Third Party,24500,0,Legítimo
Jan,1994,Tuesday,Male,42,7 years,Utility,All Perils,Policy Holder,69000,0,Legítimo
Oct,1994,Wednesday,Male,34,7 years,Sedan,Liability,Third Party,24500,0,Legítimo
Oct,1994,Tuesday,Male,30,6 years,Sedan,Collision,Third Party,24500,0,Legítimo
Sep,1994,Friday,Male,27,7 years,Sedan,Collision,Policy Holder,34500,0,Legítimo
Nov,1994,Tuesday,Male,55,more than 7,Sport,Collision,Policy Holder,69000,0,Legítimo
Nov,1994,Thursday,Male,35,7 years,Sedan,Collision,Policy Holder,24500,0,Legítimo
Mar,1994,Wednesday,Female,35,6 years,Sedan,Collision,Policy Holder,24500,0,Legítimo
Mar,1994,Friday,Male,44,7 years,Sedan,All Perils,Policy Holder,24500,0,Legítimo
Jul,1994,Monday,Female,42,4 years,Sedan,Liability,Policy Holder,24500,0,Legítimo
Jan,1994,Tuesday,Male,41,7 years,Sedan,Collision,Policy Holder,24500,0,Legítimo
Jan,1994,Wednesday,Male,72,more than 7,Sedan,Collision,Third Party,24500,0,Legítimo
Feb,1994,Wednesday,Female,29,5 years,Sedan,All Perils,Third Party,15000,0,Legítimo
Feb,1994,Thursday,Male,32,6 years,Sedan,Collision,Third Party,34500,0,Legítimo
Nov,1994,Thursday,Male,37,5 years,Sedan,Liability,Policy Holder,34500,0,Legítimo
Apr,1994,Thursday,Female,37,6 years,Sedan,Liability,Policy Holder,69000,0,Legítimo
Apr,1994,Friday,Male,59,more than 7,Sedan,Collision,Policy Holder,24500,0,Legítimo
May,1994,Friday,Male,49,more than 7,Sedan,Liability,Policy Holder,34500,0,Legítimo
Jun,1994,Wednesday,Male,27,6 years,Sedan,Liability,Policy Holder,24500,0,Legítimo
Jul,1994,Sunday,Male,21,4 years,Sport,Collision,Policy Holder,69000,1,Fraude
Jul,1994,Saturday,Male,50,more than 7,Sedan,Collision,Policy Holder,24500,1,Fraude
Jun,1994,Tuesday,Male,45,7 years,Sedan,Collision,Policy Holder,34500,0,Legítimo
Dec,1994,Monday,Male,49,more than 7,Sedan,All Perils,Third Party,24500,0,Legítimo
Jun,1994,Friday,Male,30,6 years,Sedan,All Perils,Policy Holder,24500,0,Legítimo
Nov,1994,Friday,Male,37,7 years,Sedan,Collision,Policy Holder,69000,0,Legítimo
May,1994,Monday,Male,0,new,Sedan,Liability,Policy Holder,69000,0,Legítimo
May,1994,Wednesday,Female,27,6 years,Sedan,Collision,Policy Holder,24500,0,Legítimo
Nov,1994,Monday,Male,30,5 years,Sedan,All Perils,Policy Holder,34500,0,Legítimo
Sep,1994,Tuesday,Male,49,more than 7,Utility,Collision,Policy Holder,49500,0,Legítimo
Nov,1994,Sunday,Male,0,new,Sedan,All Perils,Third Party,69000,0,Legítimo
Feb,1994,Monday,Male,26,7 years,Sedan,Liability,Policy Holder,24500,0,Legítimo
Dec,1994,Friday,Male,48,7 years,Sedan,Collision,Policy Holder,24500,0,Legítimo
Dec,1994,Friday,Male,31,7 years,Sedan,All Perils,Policy Holder,24500,0,Legítimo
Mar,1994,Friday,Male,40,7 years,Sedan,Collision,Third Party,69000,0,Legítimo
Aug,1994,Thursday,Male,65,more than 7,Sedan,Liability,Policy Holder,34500,0,Legítimo
Jan,1994,Sunday,Male,64,more than 7,Sedan,Collision,Policy Holder,24500,0,Legítimo
Jan,1994,Sunday,Male,55,7 years,Sedan,Liability,Policy Holder,24500,0,Legítimo
Jan,1994,Sunday,Male,44,7 years,Sedan,Collision,Policy Holder,24500,0,Legítimo
Jan,1994,Tuesday,Male,27,6 years,Sedan,Collision,Policy Holder,24500,0,Legítimo
Sep,1994,Thursday,Female,28,5 years,Sedan,Collision,Third Party,24500,0,Legítimo
Jan,1994,Monday,Male,47,more than 7,Sedan,Collision,Third Party,24500,0,Legítimo
Apr,1994,Saturday,Male,60,7 years,Sedan,Collision,Third Party,69000,0,Legítimo
Aug,1994,Saturday,Male,33,6 years,Sedan,Collision,Third Party,34500,0,Legítimo
Oct,1994,Tuesday,Male,27,6 years,Sedan,All Perils,Third Party,24500,0,Legítimo
Feb,1994,Friday,Female,47,more than 7,Sport,Collision,Third Party,69000,0,Legítimo
Feb,1994,Friday,Female,29,5 years,Sedan,Liability,Policy Holder,34500,0,Legítimo
Feb,1994,Saturday,Female,33,7 years,Sedan,Collision,Third Party,34500,0,Legítimo
